vacc;mspi;dyst;disg_sens;party;sys_jus
1;-0,15331955157648625;1;-0,36011074074886673;opposition;-1,3675920554259595
1;-0,72045966151713359;2;-0,44317294074312702;opposition;0,6233736843660577
0;0,36031677440749699;4;2,13175525907894237;nonVote;-1,3675920554259595
1;0,02859331387617462;3;0,22132465921095568;ruling party;1,2870289309633967
0;-0,77396344547379847;1;-0,77542174072016812;opposition;0,6233736843660577
0;-0,18542182195048487;1;0,22132465921095568;nonVote;0,2915460610673880
1;-1,41600885295377688;4;1,21807105914207914;NA;0,6233736843660577
1;-0,93447479734379313;1;0,30438685920521569;opposition;-0,0402815622312812
1;-1,79053534065043096;3;1,38419545913059983;opposition;0,6233736843660577
1;0,59573342381682193;4;1,21807105914207914;ruling party;1,9506841775607355
1;-1,20199371712711756;2;0,55357345918799705;opposition;-0,0402815622312812
0;0,29611223365949896;4;-0,02786194077182568;radicals;-0,0402815622312812
1;0,57433191023415653;3;1,30113325913633981;other;0,2915460610673880
1;0,38171828799016250;1;-0,02786194077182568;opposition;-1,3675920554259595
1;-2,43258074813040936;4;2,13175525907894237;ruling party;0,9552013076647274
1;1,30198337204479841;2;1,63338205911338052;radicals;0,9552013076647274
1;-0,07841425403715513;2;-1,10767054069720938;ruling party;1,9506841775607355
1;-0,23892560590714973;1;1,63338205911338052;opposition;-0,3721091855299509
0;1,50529775108012487;1;1,71644425910764120;nonVote;0,9552013076647274
1;0,80974855964348147;1;1,88256865909616189;opposition;-0,0402815622312812
0;0,28541147686816587;NA;-0,60929734073164743;NA;0,2915460610673880
0;-0,36733468740314573;1;0,63663565918225706;opposition;-1,0357644321272901
1;0,60643418060815513;1;-0,02786194077182568;opposition;-1,3675920554259595
1;-2,04021966578153346;2;-1,19073274069146984;nonVote;0,2915460610673880
1;-0,26567749788548217;4;0,96888445915929844;ruling party;0,9552013076647274
1;-1,37320582578844519;2;-1,02460834070294915;opposition;-0,7039368088286204
1;-0,23892560590714973;3;0,22132465921095568;ruling party;0,9552013076647274
0;-0,36733468740314573;2;-0,11092414076608569;NA;0,6233736843660577
0;0,69204023493881939;2;0,63663565918225706;opposition;-1,3675920554259595
1;-0,66695587756046870;2;-0,60929734073164743;NA;-0,7039368088286204
1;-0,07841425403715513;4;-0,52623514073738709;NA;-0,7039368088286204
0;-0,70975890472580050;2;2,13175525907894237;NA;1,2870289309633967
