voiv,mspi_z,pis,corrupt_z
Podkarpackie,-1.362505068997112,1,-0.6106617025026155
Śląskie,-0.07841425403715513,NA,3.209161847258525
Śląskie,0.4673243423208267,1,3.209161847258525
Śląskie,-0.8274672294304634,0,3.209161847258525
Podkarpackie,-0.11051652441115374,NA,-0.6106617025026155
Łódzkie,0.2426084497028341,1,-0.22376760606785712
Mazowieckie,0.19980542253750236,NA,0.7608476432573192
Mazowieckie,0.6884733160083745,NA,0.7608476432573192
Pomorskie,0.6813394781474862,1,-0.03712143063937014
Warmińsko-mazurskie,-0.42083847135981023,NA,-0.7678374291792363
Warmińsko-mazurskie,1.0558659658441403,0,-0.7678374291792363
Małopolskie,-1.5551186912411057,NA,0.5439753665448667
Małopolskie,-0.9344747973437931,1,0.5439753665448667
Małopolskie,-1.4588118801191088,0,0.5439753665448667
Małopolskie,NA,1,0.5439753665448667
Mazowieckie,-0.15331955157648625,0,0.7608476432573192
Mazowieckie,-0.7204596615171336,0,0.7608476432573192
Podkarpackie,0.360316774407497,0,-0.6106617025026155
Podkarpackie,0.02859331387617462,1,-0.6106617025026155
Lubelskie,-0.7739634454737985,0,-0.47388859419267165
Lubelskie,-0.18542182195048487,0,-0.47388859419267165
Lubelskie,-1.4160088529537769,NA,-0.47388859419267165
Pomorskie,-0.9344747973437931,0,-0.03712143063937014
Pomorskie,-1.790535340650431,0,-0.03712143063937014
Mazowieckie,0.5957334238168219,1,0.7608476432573192
Śląskie,-1.2019937171271176,0,3.209161847258525
Śląskie,0.29611223365949896,0,3.209161847258525
Opolskie,0.5743319102341565,0,-0.470110331532176
Lubelskie,0.3817182879901625,0,-0.47388859419267165
Pomorskie,-2.4325807481304094,1,-0.03712143063937014
Warmińsko-mazurskie,1.3019833720447984,0,-0.7678374291792363
Mazowieckie,-0.07841425403715513,1,0.7608476432573192
Świętokrzyskie,-0.23892560590714973,0,0.5719345102325348
Świętokrzyskie,1.5052977510801249,0,0.5719345102325348
Świętokrzyskie,0.8097485596434815,0,0.5719345102325348
Podkarpackie,0.28541147686816587,NA,-0.6106617025026155
Podkarpackie,-0.36733468740314573,0,-0.6106617025026155
Podkarpackie,0.6064341806081551,0,-0.6106617025026155
Łódzkie,-2.0402196657815335,0,-0.22376760606785712
Łódzkie,-0.26567749788548217,1,-0.22376760606785712
Dolnośląskie,-1.3732058257884452,0,-0.5214947037149174
Małopolskie,-0.23892560590714973,1,0.5439753665448667
Małopolskie,-0.36733468740314573,NA,0.5439753665448667
Podkarpackie,0.6920402349388194,0,-0.6106617025026155
Świętokrzyskie,-0.6669558775604687,NA,0.5719345102325348
Świętokrzyskie,-0.07841425403715513,NA,0.5719345102325348
Małopolskie,-0.7097589047258005,NA,0.5439753665448667
Śląskie,0.34961601761616384,1,3.209161847258525
Małopolskie,-0.11051652441115374,1,0.5439753665448667
Małopolskie,-0.5599483096471389,NA,0.5439753665448667
Małopolskie,-0.31383090344648085,0,0.5439753665448667
Małopolskie,0.02859331387617462,1,0.5439753665448667
Pomorskie,1.5052977510801249,NA,-0.03712143063937014
Podkarpackie,-1.1484899331704526,NA,-0.6106617025026155
Podkarpackie,-0.6134520936038038,NA,-0.6106617025026155
Podkarpackie,-0.5064445256904742,0,-0.6106617025026155
Podkarpackie,-1.5765202048237716,1,-0.6106617025026155
Małopolskie,-0.592050580021138,NA,0.5439753665448667
Małopolskie,1.1949758041314686,1,0.5439753665448667
Małopolskie,0.9916614250961423,0,0.5439753665448667
Podkarpackie,0.5636311534428233,0,-0.6106617025026155
Podkarpackie,0.5636311534428233,0,-0.6106617025026155
Podkarpackie,-1.1484899331704526,1,-0.6106617025026155
Mazowieckie,0.8097485596434815,0,0.7608476432573192
Mazowieckie,-0.11051652441115374,NA,0.7608476432573192
